date,geography,geography_code,Rural_Urban,total_pop,value,religion,percs
2011,Camden,E09000007,Total,232009,78870,Christian,34
2011,Camden,E09000007,Total,232009,3149,Buddhist,1.4
2011,Camden,E09000007,Total,232009,3174,Hindu,1.4
2011,Camden,E09000007,Total,232009,10566,Jewish,4.6
2011,Camden,E09000007,Total,232009,28012,Muslim,12.1
2011,Camden,E09000007,Total,232009,432,Sikh,0.2
2011,Camden,E09000007,Total,232009,1284,Other religion,0.6
2011,Camden,E09000007,Total,232009,53819,No religion,23.2
2011,Camden,E09000007,Total,232009,52703,Religion not stated,22.7
2011,City of London,E09000001,Total,7683,3186,Christian,41.5
2011,City of London,E09000001,Total,7683,97,Buddhist,1.3
2011,City of London,E09000001,Total,7683,141,Hindu,1.8
2011,City of London,E09000001,Total,7683,179,Jewish,2.3
2011,City of London,E09000001,Total,7683,418,Muslim,5.4
2011,City of London,E09000001,Total,7683,23,Sikh,0.3
2011,City of London,E09000001,Total,7683,29,Other religion,0.4
2011,City of London,E09000001,Total,7683,2888,No religion,37.6
2011,City of London,E09000001,Total,7683,722,Religion not stated,9.4
2011,Hackney,E09000012,Total,257105,108250,Christian,42.1
2011,Hackney,E09000012,Total,257105,3605,Buddhist,1.4
2011,Hackney,E09000012,Total,257105,1611,Hindu,0.6
2011,Hackney,E09000012,Total,257105,14806,Jewish,5.8
2011,Hackney,E09000012,Total,257105,39462,Muslim,15.3
2011,Hackney,E09000012,Total,257105,1830,Sikh,0.7
2011,Hackney,E09000012,Total,257105,1582,Other religion,0.6
2011,Hackney,E09000012,Total,257105,66721,No religion,26
2011,Hackney,E09000012,Total,257105,19238,Religion not stated,7.5
2011,Hammersmith and Fulham,E09000013,Total,186794,95270,Christian,51
2011,Hammersmith and Fulham,E09000013,Total,186794,2098,Buddhist,1.1
2011,Hammersmith and Fulham,E09000013,Total,186794,2642,Hindu,1.4
2011,Hammersmith and Fulham,E09000013,Total,186794,1338,Jewish,0.7
2011,Hammersmith and Fulham,E09000013,Total,186794,22389,Muslim,12
2011,Hammersmith and Fulham,E09000013,Total,186794,415,Sikh,0.2
2011,Hammersmith and Fulham,E09000013,Total,186794,1013,Other religion,0.5
2011,Hammersmith and Fulham,E09000013,Total,186794,43887,No religion,23.5
2011,Hammersmith and Fulham,E09000013,Total,186794,17742,Religion not stated,9.5
2011,Haringey,E09000014,Total,258574,100402,Christian,38.8
2011,Haringey,E09000014,Total,258574,3305,Buddhist,1.3
2011,Haringey,E09000014,Total,258574,4720,Hindu,1.8
2011,Haringey,E09000014,Total,258574,8036,Jewish,3.1
2011,Haringey,E09000014,Total,258574,43445,Muslim,16.8
2011,Haringey,E09000014,Total,258574,894,Sikh,0.3
2011,Haringey,E09000014,Total,258574,1407,Other religion,0.5
2011,Haringey,E09000014,Total,258574,73983,No religion,28.6
2011,Haringey,E09000014,Total,258574,22382,Religion not stated,8.7
2011,Islington,E09000019,Total,213039,77645,Christian,36.4
2011,Islington,E09000019,Total,213039,2495,Buddhist,1.2
2011,Islington,E09000019,Total,213039,2556,Hindu,1.2
2011,Islington,E09000019,Total,213039,2145,Jewish,1
2011,Islington,E09000019,Total,213039,20872,Muslim,9.8
2011,Islington,E09000019,Total,213039,690,Sikh,0.3
2011,Islington,E09000019,Total,213039,1049,Other religion,0.5
2011,Islington,E09000019,Total,213039,68656,No religion,32.2
2011,Islington,E09000019,Total,213039,36931,Religion not stated,17.3
2011,Kensington and Chelsea,E09000020,Total,171527,98497,Christian,57.4
2011,Kensington and Chelsea,E09000020,Total,171527,2332,Buddhist,1.4
2011,Kensington and Chelsea,E09000020,Total,171527,1419,Hindu,0.8
2011,Kensington and Chelsea,E09000020,Total,171527,3486,Jewish,2
2011,Kensington and Chelsea,E09000020,Total,171527,14357,Muslim,8.4
2011,Kensington and Chelsea,E09000020,Total,171527,302,Sikh,0.2
2011,Kensington and Chelsea,E09000020,Total,171527,849,Other religion,0.5
2011,Kensington and Chelsea,E09000020,Total,171527,32638,No religion,19
2011,Kensington and Chelsea,E09000020,Total,171527,17647,Religion not stated,10.3
2011,Lambeth,E09000022,Total,335631,174988,Christian,52.1
2011,Lambeth,E09000022,Total,335631,2962,Buddhist,0.9
2011,Lambeth,E09000022,Total,335631,3357,Hindu,1
2011,Lambeth,E09000022,Total,335631,1127,Jewish,0.3
2011,Lambeth,E09000022,Total,335631,24157,Muslim,7.2
2011,Lambeth,E09000022,Total,335631,410,Sikh,0.1
